                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3808,                 2.5835,                  1.167,                0.96776,                 0.0814,                0.22108,                0.15319,                 1.1432,                 3.0391,                 1.0016,                 0.0004,                 0.0004,                 0.0004
                      1,                 1.2502,                 1.5861,                 1.1175,                0.80117,                0.21005,                0.39965,                0.27221,                 1.0956,                  2.291,                0.97607,             0.00080446,             0.00080446,             0.00080446
                      2,                 1.2197,                 1.4252,                  1.104,                0.72817,                0.55712,                0.63549,                0.41931,                 1.1175,                 1.8829,                 1.0167,              0.0012007,              0.0012007,              0.0012007
                      3,                 1.1893,                  1.304,                 1.0919,                0.67162,                0.69393,                0.67982,                0.44835,                 1.0616,                 1.2409,                 1.0157,              0.0012129,              0.0012129,              0.0012129
                      4,                 1.1669,                  1.176,                 1.0749,                0.62858,                0.47529,                0.46679,                0.30882,                 1.0498,                  1.186,                 1.0031,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1318,                 1.1177,                 1.0635,                0.70764,                0.46481,                0.50508,                0.33738,                 1.0296,                 1.0481,                 1.0059,              0.0012005,              0.0012005,              0.0012005
                      6,                  1.135,                 1.0406,                 1.0645,                0.77374,                0.79031,                0.84587,                0.57627,                 1.0137,                0.92285,                0.98685,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.1376,                 1.0321,                 1.0727,                0.81369,                0.75624,                0.82579,                 0.5722,                 0.9764,                0.89593,                 0.9761,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.0899,                0.96566,                 1.0387,                0.74736,                0.76031,                 0.8098,                 0.5597,                0.96891,                0.91742,                0.98449,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.0833,                0.94632,                 1.0471,                0.81489,                 0.7776,                0.85796,                0.58578,                0.97188,                  0.845,                0.97447,               0.001151,               0.001151,               0.001151
                     10,                 1.0881,                0.90046,                 1.0471,                0.77871,                0.78816,                0.81565,                0.56407,                0.98272,                0.83657,                0.97985,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.0631,                0.87432,                 1.0277,                0.78431,                0.77565,                0.83446,                0.58462,                0.96437,                0.80895,                0.96894,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.0681,                0.87389,                 1.0309,                 0.7856,                0.75774,                0.83143,                0.58049,                0.96072,                0.85084,                0.98011,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.0509,                 0.8532,                   1.03,                0.76946,                0.82258,                0.81637,                0.56468,                0.96629,                0.75055,                0.98886,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.0337,                0.82171,                 1.0261,                0.82587,                0.83508,                 0.8777,                0.61801,                0.93083,                0.70709,                0.96777,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.0347,                0.79612,                 1.0187,                0.81083,                0.76463,                0.82812,                0.58622,                0.95579,                0.72502,                0.97619,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.0176,                  0.773,                 1.0138,                 0.8129,                0.81031,                0.84791,                0.61338,                0.92507,                0.65698,                0.95435,              0.0010644,              0.0010644,              0.0010644
                     17,                0.99724,                0.74636,                 1.0108,                0.85539,                0.78201,                0.85419,                0.59449,                0.94711,                0.69376,                0.97749,               0.001052,               0.001052,               0.001052
                     18,                 1.0173,                0.75982,                 1.0268,                 0.7971,                0.80734,                0.85249,                0.58982,                0.96115,                0.67321,                0.97158,              0.0010396,              0.0010396,              0.0010396
                     19,                0.99781,                0.72813,                 1.0015,                 0.8377,                0.81875,                0.87162,                0.61626,                0.94574,                0.68654,                0.96853,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.0036,                0.73553,                 1.0123,                0.82759,                0.82935,                0.86372,                0.60866,                0.94773,                0.65043,                0.97029,              0.0010149,              0.0010149,              0.0010149
                     21,                0.99926,                0.72709,                 1.0166,                0.85008,                0.78675,                0.85329,                 0.6025,                0.96271,                0.67059,                 0.9763,              0.0010025,              0.0010025,              0.0010025
                     22,                0.98693,                0.71068,                 1.0038,                0.83314,                0.85906,                0.90129,                0.64165,                0.93156,                0.63579,                0.96011,             0.00099013,             0.00099013,             0.00099013
                     23,                0.99688,                0.69881,                   1.01,                0.81292,                0.83125,                0.87014,                0.62258,                0.90731,                0.63303,                0.95849,             0.00097775,             0.00097775,             0.00097775
                     24,                0.97903,                0.68843,                 1.0033,                0.85082,                0.80726,                0.87942,                0.62943,                0.92206,                0.61052,                0.96705,             0.00096537,             0.00096537,             0.00096537
                     25,                0.95717,                0.66295,                0.99012,                0.85067,                0.82922,                0.89248,                0.64416,                0.92343,                0.60468,                0.95847,               0.000953,               0.000953,               0.000953
                     26,                0.96989,                0.66804,                0.98949,                0.85548,                0.76693,                 0.8519,                0.58476,                0.95803,                0.65151,                0.97449,             0.00094062,             0.00094062,             0.00094062
                     27,                0.97701,                0.67739,                0.99983,                0.80346,                 0.8126,                0.86338,                0.60257,                0.93067,                0.62691,                0.97669,             0.00092825,             0.00092825,             0.00092825
                     28,                0.95933,                0.65618,                0.99744,                0.75006,                0.85406,                0.85691,                0.60334,                0.95535,                0.64142,                0.98825,             0.00091588,             0.00091588,             0.00091588
                     29,                0.95175,                 0.6433,                0.98391,                0.80809,                 0.8436,                0.86095,                0.62407,                0.91494,                0.59929,                0.96605,              0.0009035,              0.0009035,              0.0009035
                     30,                0.94024,                0.63718,                0.98651,                0.80626,                0.87445,                0.87016,                0.61984,                0.92992,                0.61006,                0.96833,             0.00089112,             0.00089112,             0.00089112
                     31,                0.95555,                0.64416,                0.98481,                0.84795,                0.82031,                0.88065,                0.62704,                0.92629,                0.57841,                0.96372,             0.00087875,             0.00087875,             0.00087875
                     32,                0.93815,                0.62843,                0.98586,                0.83956,                0.84413,                0.88615,                0.62946,                0.95472,                0.58972,                0.96763,             0.00086637,             0.00086637,             0.00086637
                     33,                0.92102,                0.61877,                0.98009,                0.83777,                0.80041,                0.89046,                0.64254,                0.90394,                0.56388,                0.95641,               0.000854,               0.000854,               0.000854
                     34,                0.91898,                0.61541,                0.97629,                0.82968,                0.83472,                0.88252,                0.64522,                0.91143,                0.57554,                0.95561,             0.00084162,             0.00084162,             0.00084162
