                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4208,                 3.2099,                 1.0777,                0.96565,                0.05354,                 0.0997,                0.06295,                 1.3977,                 2.8561,                0.96525,             0.00026361,             0.00026361,             0.00026361
                      2,                 1.3346,                 1.7165,                 1.0329,                0.92739,                0.11295,                0.17537,                0.10766,                 1.2939,                 2.1886,                0.99351,             0.00053578,             0.00053578,             0.00053578
                      3,                 1.2539,                 1.3805,                 1.0082,                0.90903,                0.18541,                0.22451,                0.12833,                 1.2481,                 1.4286,                0.97725,             0.00080741,             0.00080741,             0.00080741
                      4,                 1.2029,                 1.2968,                 1.0019,                0.71128,                0.26102,                0.29561,                0.19351,                 1.1934,                 1.3865,                 0.9663,              0.0009063,              0.0009063,              0.0009063
                      5,                 1.1569,                 1.1974,                0.99701,                0.56656,                0.33604,                0.34918,                0.22413,                  1.144,                 1.3428,                0.96145,              0.0009063,              0.0009063,              0.0009063
                      6,                 1.1251,                 1.1196,                0.97164,                0.50965,                0.37837,                0.39304,                0.24242,                 1.1421,                 1.0916,                0.95886,              0.0009054,              0.0009054,              0.0009054
                      7,                  1.128,                 1.1009,                0.96005,                0.33098,                0.32819,                 0.3541,                0.22889,                  1.126,                 1.0549,                0.95768,              0.0009045,              0.0009045,              0.0009045
                      8,                 1.0986,                 1.0339,                0.96216,                0.36072,                0.32673,                0.32801,                0.19674,                 1.1167,                 1.0214,                0.95847,              0.0009036,              0.0009036,              0.0009036
                      9,                 1.0845,                0.99701,                 0.9517,                 0.4723,                0.46966,                0.42949,                0.26272,                 1.0948,                0.94635,                0.95763,              0.0009027,              0.0009027,              0.0009027
                     10,                 1.0636,                0.94119,                0.94899,                 0.4948,                0.47064,                0.43759,                0.29081,                  1.082,                0.89642,                0.95064,              0.0009018,              0.0009018,              0.0009018
                     11,                 1.0447,                0.90522,                0.93907,                0.42618,                0.52833,                0.43536,                 0.2751,                 1.0731,                  0.921,                0.96197,              0.0009009,              0.0009009,              0.0009009
                     12,                 1.0253,                0.89703,                 0.9376,                0.59026,                0.52013,                 0.5282,                0.33736,                 1.0532,                0.85613,                0.94229,                 0.0009,                 0.0009,                 0.0009
                     13,                 1.0078,                0.91714,                0.93987,                0.59518,                0.40426,                0.41141,                0.26973,                 1.0981,                0.86131,                0.94747,              0.0008991,              0.0008991,              0.0008991
                     14,                 1.0297,                0.87379,                0.93347,                0.42993,                0.52247,                0.39977,                0.26766,                 1.0892,                0.86369,                0.94975,              0.0008982,              0.0008982,              0.0008982
                     15,                0.99635,                0.83408,                 0.9287,                0.40467,                0.39563,                0.43849,                0.28228,                 1.0665,                0.89033,                0.95356,              0.0008973,              0.0008973,              0.0008973
                     16,                0.99806,                0.83658,                0.93787,                0.55363,                0.50152,                0.49961,                0.33735,                 1.0593,                0.84452,                0.94016,              0.0008964,              0.0008964,              0.0008964
                     17,                 0.9653,                0.78905,                0.92532,                0.61414,                0.55635,                0.55146,                0.39867,                 1.0724,                0.80856,                0.94832,              0.0008955,              0.0008955,              0.0008955
                     18,                 0.9824,                 0.8026,                0.92548,                0.59085,                0.55109,                0.54351,                0.37817,                 1.0442,                 0.8117,                0.95138,              0.0008946,              0.0008946,              0.0008946
                     19,                0.96213,                0.78074,                0.92194,                0.78546,                0.44588,                0.50303,                0.33769,                 1.0609,                0.82123,                 0.9576,              0.0008937,              0.0008937,              0.0008937
                     20,                0.94658,                0.73898,                0.91118,                0.61282,                0.52547,                0.54821,                 0.3974,                  1.041,                0.79595,                0.94404,              0.0008928,              0.0008928,              0.0008928
